,Unnamed: 0.1,Unnamed: 0,Track,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,YouTube Views,TikTok Posts,Apple Music Playlist Count,Amazon Playlist Count,Pandora Streams,Soundcloud Streams,Explicit Track
0,0,0,MILLION DOLLAR BABY,Tommy Richman,4/26/2024,1,725.4,390470936.0,84274754.0,"5,767,700",210.0,114.0,"18,004,655","4,818,457",0
1,1,1,Not Like Us,Kendrick Lamar,5/4/2024,2,545.9,323703884.0,116347040.0,"674,700",188.0,111.0,"7,780,028","6,623,075",1
2,2,2,i like the way you kiss me,Artemas,3/19/2024,3,538.4,601309283.0,122599116.0,"3,025,400",190.0,172.0,"5,022,621","7,208,651",0
3,3,3,Flowers,Miley Cyrus,1/12/2023,4,444.9,2031280633.0,1096100899.0,"7,189,811",394.0,210.0,"190,260,277",,0
4,4,4,Houdini,Eminem,5/31/2024,5,423.3,107034922.0,77373957.0,"16,400",182.0,105.0,"4,493,884","207,179",1
5,5,5,Lovin On Me,Jack Harlow,11/10/2023,6,410.1,670665438.0,131148091.0,"4,202,367",138.0,152.0,"138,529,362","9,438,601",1
6,6,6,Beautiful Things,Benson Boone,1/18/2024,7,407.2,900158751.0,308723145.0,,280.0,154.0,"65,447,476",,0
7,7,7,Gata Only,FloyyMenor,2/2/2024,8,375.8,675079153.0,228382568.0,"3,500,000",160.0,53.0,"3,372,428",,1
8,8,8,Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,9,355.7,1653018119.0,,,,,,,1
9,9,9,BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,10,330.6,90676573.0,32735244.0,"325,800",191.0,92.0,"1,005,626","3,679,709",1
10,10,10,I Had Some Help (feat. Morgan Wallen),Post Malone,5/10/2024,11,322.1,250080413.0,32229063.0,,157.0,114.0,"23,155,471","1,594,605",1
11,11,11,The Door,Teddy Swims,6/14/2024,12,320.2,111155129.0,,,,2.0,,,1
12,12,12,LUNCH,Billie Eilish,5/17/2024,13,316.3,221636195.0,40022524.0,"195,300",244.0,163.0,"1,354,692","1,313,357",0
13,13,13,Like That,Future,3/22/2024,14,308.2,355186436.0,98081493.0,,153.0,109.0,"26,252,264","12,038,034",1
14,14,14,bathroom floor,Kids With Buns,10/7/2022,15,301.6,297185.0,6736502312.0,3,1.0,,,,0
15,15,15,LALA,Myke Towers,3/22/2023,16,299.9,925655569.0,934302031.0,"11,054,500",94.0,83.0,"12,171,026","871,978",1
16,16,16,Fortnight (feat. Post Malone),Taylor Swift,4/18/2024,17,297.6,395433400.0,104673836.0,"139,300",221.0,134.0,"9,961,769","377,734",0
17,17,17,greedy,Tate McRae,9/14/2023,18,293.7,1258569694.0,141646818.0,"2,294,429",207.0,150.0,"44,850,379",,1
18,18,18,BLUE,Billie Eilish,5/17/2024,19,292.6,91272461.0,16038053.0,"941,900",76.0,33.0,"283,089","975,891",0
19,19,19,As It Was,Harry Styles,3/31/2022,20,292.0,3301814535.0,800899315.0,"2,755,903",455.0,189.0,"132,624,772",,0
20,20,20,Paint The Town Red,Doja Cat,8/4/2023,21,290.5,1065399331.0,240970670.0,"3,091,732",158.0,146.0,"70,291,476",,1
21,21,21,Espresso,Sabrina Carpenter,4/12/2024,22,281.5,547882871.0,107550212.0,"209,200",298.0,149.0,"10,362,898","1,551,157",1
22,22,22,Danza Kuduro - Cover,MUSIC LAB JPN,5/21/2024,23,279.0,1655575417.0,,,,,,,1
23,23,23,TEXAS HOLD 'EM,BeyoncÃ¯Â¿,2/10/2024,24,278.9,426700979.0,35724356.0,"1,470,500",159.0,177.0,"13,860,535",,1
24,24,24,Future,official sound studio,1/10/2024,25,277.5,,,"9,453,333",,,,,0
25,25,25,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,268.1,7382759.0,4233958.0,"37,621,885",1.0,1.0,,,0
26,26,26,STAY (with Justin Bieber),The Kid LAROI,7/9/2021,27,266.3,3107100349.0,1256973582.0,"7,485,966",513.0,128.0,"196,783,487","36,341,585",1
27,27,27,Baby Shark,Pinkfong,12/1/2015,28,265.7,720822868.0,16322756555.0,"7,743,800",33.0,17.0,"86,458,847",,0
28,28,28,we can't be friends (wait for your love),Ariana Grande,3/8/2024,29,262.8,591068364.0,156882014.0,,194.0,126.0,"10,106,573","1,612,479",0
29,29,29,Numb / Encore,JAY-Z,4/12/2024,30,256.0,1003215671.0,,,,,"179,867,721",,1
30,30,30,Danza Kuduro - Cover,LOVE BGM JPN,5/14/2024,31,249.8,1645079292.0,,,,,,,1
31,31,31,SHEESH,BABYMONSTER,4/1/2024,32,237.5,124893397.0,359896095.0,"212,500",36.0,26.0,"130,743","265,670",0
32,32,32,Water,Tyla,7/28/2023,33,234.6,670376179.0,265180930.0,"2,114,363",225.0,188.0,"40,418,532","6,049,784",0
